factor,characteristic,importance,share
2,eqpo_me,4.603212157885234,0.007187108738626044
2,cash_at,4.578283349672954,0.007148186775179475
2,tangibility,4.577970133887397,0.0071476977436440515
2,cowc_gr1a,4.5190171003341675,0.007055652917534281
2,ivol_capm_21d,4.492103589905633,0.0070136321895396606
2,niq_be,4.473197791311476,0.0069841140996436705
2,cop_atl1,4.433919588724772,0.006922788072650792
2,sale_gr1,4.298642635345459,0.006711576827020558
2,age,4.2540551622708636,0.0066419613049945436
2,debt_me,4.227532645066579,0.0066005510443697445
2,inv_gr1a,4.186062574386597,0.006535802799632646
2,coa_gr1a,4.159718182351854,0.006494670650230765
2,opex_at,4.133074051804012,0.006453070511691536
2,mispricing_perf,4.127847479449378,0.006444910135294653
2,lnoa_gr1a,4.117433594332801,0.006428650679471791
2,gp_at,4.105979899565379,0.006410767743180992
2,beta_dimson_21d,4.101069251696269,0.006403100627479635
2,ival_me,4.09724376598994,0.006397127802242295
2,dsale_drec,4.063238819440206,0.006344035040031573
2,zero_trades_126d,4.016356269518535,0.0062708361578870855
2,fnl_gr1a,4.0145525733629865,0.006268020002568422
2,nncoa_gr1a,4.00378997458352,0.006251216091498251
2,taccruals_at,4.002430849605137,0.006249094056129474
2,f_score,3.9940607216623096,0.0062360255688171376
2,prc,3.9938345551490784,0.006235672449458769
2,betadown_252d,3.9316730035675898,0.0061386180849727495
2,at_me,3.8790675004323325,0.006056483814746777
2,beta_60m,3.8778774407174854,0.006054625745146093
2,oaccruals_at,3.8617300854788885,0.006029414480933076
2,seas_1_1an,3.860780802037981,0.006027932341270689
2,cop_at,3.694404913319482,0.00576816556044633
2,ope_bel1,3.6359048154619007,0.00567682791401557
2,seas_1_1na,3.552142745918698,0.005546048127785616
2,noa_at,3.5456445018450418,0.005535902258951937
2,pi_nix,3.5416735410690308,0.005529702299898318
2,log_me_rank,3.504071487320794,0.005470993285450374
2,sale_bev,3.472959670755598,0.005422417638480198
2,at_turnover,3.389158401224348,0.005291576648341543
2,be_gr1a,3.3879354993502298,0.005289667301467121
2,z_score,3.3041396935780845,0.005158834842030387
2,turnover_126d,3.2237760424613953,0.005033361090354776
2,rskew_21d,3.196274373266432,0.004990422055563746
2,prc_highprc_252d,3.1790193849139743,0.004963481416436261
2,at_gr1,3.163858473300934,0.004939810310998948
2,gp_atl1,3.1259852846463523,0.0048806779669307515
2,sale_me,3.028311808904012,0.004728177958901086
2,ocf_me,2.99764347076416,0.004680294725740412
2,iskew_hxz4_21d,2.996982561217414,0.0046792628313553734
2,eq_dur,2.9229806198014154,0.00456372177402758
2,zero_trades_252d,2.8364202313952975,0.004428572903500986
2,tax_gr1a,2.717857943640815,0.004243458677789693
2,sale_emp_gr1,2.687620242436727,0.00419624780870394
2,rmax5_21d,2.6631890866491528,0.004158102842268963
2,ret_3_1,2.573056783941057,0.004017377053796193
2,kz_index,2.456593301561144,0.003835539744709827
2,rvol_21d,2.375263101524777,0.003708556896353753
2,ocf_at,1.8741614653004541,0.0029261745456992494
2,sale_gr3,1.7648388246695201,0.002755486409054853
